title,type,attribute,id,old_link,new_link
"Strom-Marktpreis gemäss Art. 3 b bis, Abs. 2 und 3, EnV (2015 - 2017)",dataset,url,c08e9578-4908-4980-ad2a-df3c8264ee52,http://www.bfe.admin.ch/ogd42,https://www.bfe.admin.ch/ogd42
"Strom-Marktpreis gemäss Art. 3 f, Abs. 3 EnV (2007-2014)",dataset,url,8138cca4-6567-431d-a791-f08e3e9ce5e3,http://www.bfe.admin.ch/ogd43,https://www.bfe.admin.ch/ogd43
Teilstatistik Spezielle energetische Holznutzungen: Feuerungen und Motoren für erneuerbare Abfälle,dataset,url,6f04ed5a-2952-4bb7-9f75-06b3b272e289,http://www.bfe.admin.ch/ogd44,https://www.bfe.admin.ch/ogd44
"Thermische Netze (Nahwärme, Fernwärme, Fernkälte)",resources,download_url,e85f0e09-3f51-491f-867e-34ae69f87b55,http://data.geo.admin.ch/ch.bfe.thermische-netze/xtf/2056/ch.bfe.thermische-netze.zip,https://data.geo.admin.ch/ch.bfe.thermische-netze/xtf/2056/ch.bfe.thermische-netze.zip
"Thermische Netze (Nahwärme, Fernwärme, Fernkälte)",resources,url,e85f0e09-3f51-491f-867e-34ae69f87b55,http://data.geo.admin.ch/ch.bfe.thermische-netze/xtf/2056/ch.bfe.thermische-netze.zip,https://data.geo.admin.ch/ch.bfe.thermische-netze/xtf/2056/ch.bfe.thermische-netze.zip
Thermische Stromproduktion inklusive Wärmekraftkopplung (WKK) in der Schweiz,dataset,url,6b25e3d0-b66d-4c70-bd13-22a41210d2b0,http://www.bfe.admin.ch/ogd45,https://www.bfe.admin.ch/ogd45
Verkaufszahlenbasierte Energieeffizienzanalyse von Elektrogeräten,dataset,url,d0bd1d7e-c3ee-45d2-b929-e897a4b2c10e,http://www.bfe.admin.ch/ogd46,https://www.bfe.admin.ch/ogd46
Vollzugsresultate der CO2-Emissionsvorschriften für Personenwagen,resources,uri,dec9d229-5474-4263-8c1c-9dae3c21a0ba,https://ckan.opendata.swiss/dataset/f1ccbbae-8629-4448-a209-617e8da3c27d/resource/8c42d6be-d1ab-4e47-a79d-dca7a436d569,-
Wettbewerbliche Ausschreibungen für Stromeffizienzmassnahmen geförderte Programme und Projekte,dataset,url,e46030db-346c-48bb-ba29-e559dc3b20ab,http://www.bfe.admin.ch/ogd27,https://www.bfe.admin.ch/ogd27
Windatlas Schweiz: Jahresmittel der modellierten Windgeschwindigkeit und Windrichtung in 100 m Höhe über Grund,resources,download_url,1e01c15f-0cfb-439c-ac44-09c95969f369,https://data.geo.admin.ch/ch.bfe.windenergie-geschwindigkeit_h100/windenergie-geschwindigkeit_h100/windenergie-geschwindigkeit_h100_2056.fgdb.zip,-
Windatlas Schweiz: Jahresmittel der modellierten Windgeschwindigkeit und Windrichtung in 100 m Höhe über Grund,resources,url,1e01c15f-0cfb-439c-ac44-09c95969f369,https://data.geo.admin.ch/ch.bfe.windenergie-geschwindigkeit_h100/windenergie-geschwindigkeit_h100/windenergie-geschwindigkeit_h100_2056.fgdb.zip,-
Windatlas Schweiz: Jahresmittel der modellierten Windgeschwindigkeit und Windrichtung in 125 m Höhe über Grund,resources,download_url,a288389c-9498-4e23-bd8e-f86b9866ace4,https://data.geo.admin.ch/ch.bfe.windenergie-geschwindigkeit_h125/windenergie-geschwindigkeit_h125/windenergie-geschwindigkeit_h125_2056.fgdb.zip,-
